dataset,variant,samples,hyper_precision,hyper_recall,hyper_f1,meta_precision,meta_recall,meta_f1,has_stage2_guard_summary,stage_final_path,stage2_guard_summary_path
hypl,deepseek_full,30,1.0,0.4,0.5714,0.6522,0.9375,0.7692,1,results/runs/deepseek_full/stage_final.csv,results/runs/deepseek_full/stage2_guard_summary.csv
hypl,deepseek_wo_feature,30,1.0,0.4333,0.6047,0.625,0.9375,0.75,1,results/runs/deepseek_wo/stage_final.csv,results/runs/deepseek_wo/stage2_guard_summary.csv
hypl,deepseek_plus_e,30,1.0,0.4,0.5714,0.6522,0.9375,0.7692,1,results/runs/deepseek_plus_e/stage_final.csv,results/runs/deepseek_plus_e/stage2_guard_summary.csv
hypl,deepseek_plus_c,30,1.0,0.4,0.5714,0.6087,0.875,0.7179,1,results/runs/deepseek_plus_c/stage_final.csv,results/runs/deepseek_plus_c/stage2_guard_summary.csv
hypl,deepseek_wo_cascade,30,1.0,0.3333,0.5,0.625,0.9375,0.75,1,results/runs/deepseek_wo_cascade/stage_final.csv,results/runs/deepseek_wo_cascade/stage2_guard_summary.csv
hypl,8b_fast_full,30,1.0,0.9,0.9474,0.7692,0.625,0.6897,1,results/runs/ablation_full/stage_final.csv,results/runs/ablation_full/stage2_guard_summary.csv
hypl,8b_fast_wo_feature,30,1.0,0.9333,0.9655,0.6111,0.6875,0.6471,1,results/runs/ablation_wo_feature/stage_final.csv,results/runs/ablation_wo_feature/stage2_guard_summary.csv
hypl,8b_fast_plus_e,30,1.0,0.9333,0.9655,0.625,0.625,0.625,1,results/runs/ablation_plus_e/stage_final.csv,results/runs/ablation_plus_e/stage2_guard_summary.csv
hypl,8b_fast_plus_c,30,1.0,0.9667,0.9831,0.6,0.5625,0.5806,1,results/runs/ablation_plus_c/stage_final.csv,results/runs/ablation_plus_c/stage2_guard_summary.csv
hypl,8b_fast_wo_cascade,30,1.0,0.9,0.9474,0.7692,0.625,0.6897,1,results/runs/ablation_wo_cascade/stage_final.csv,results/runs/ablation_wo_cascade/stage2_guard_summary.csv
hypl,8b_5step_full,30,1.0,0.8333,0.9091,0.625,0.9375,0.75,1,results/runs/ablation_full_5step/stage_final.csv,results/runs/ablation_full_5step/stage2_guard_summary.csv
hypl,70b_fast_wo_feature,30,1.0,0.7333,0.8462,0.5714,1.0,0.7273,1,results/runs/ablation_wo_feature_70b/stage_final.csv,results/runs/ablation_wo_feature_70b/stage2_guard_summary.csv
hypl,70b_fast_full,30,1.0,0.6333,0.7755,0.6154,1.0,0.7619,1,results/runs/ablation_full_70b/stage_final.csv,results/runs/ablation_full_70b/stage2_guard_summary.csv
hypl,70b_5step_full,10,1.0,0.5,0.6667,0.6667,1.0,0.8,0,results/runs/ablation_full_5step_70b/stage_final.csv,missing
hypo,8b_5step_full,30,1.0,0.4667,0.6364,0.76,0.8261,0.7917,1,results/runs/hypo_5step_full/stage_final.csv,results/runs/hypo_5step_full/stage2_guard_summary.csv
hypo,8b_fast_wo_feature,50,1.0,0.94,0.9691,0.6562,0.6,0.6269,1,results/runs/hypo_wo_feature/stage_final.csv,results/runs/hypo_wo_feature/stage2_guard_summary.csv
hypo,8b_fast_full,50,1.0,0.82,0.9011,0.64,0.4571,0.5333,1,results/runs/hypo_full/stage_final.csv,results/runs/hypo_full/stage2_guard_summary.csv
lcc,70b_fast_wo_feature,30,1.0,0.5,0.6667,0.8,0.5,0.6154,1,results/runs/lcc_wo_feature_70b/stage_final.csv,results/runs/lcc_wo_feature_70b/stage2_guard_summary.csv
lcc,70b_fast_full,30,0.6,0.375,0.4615,0.8182,0.5625,0.6667,1,results/runs/lcc_full_70b/stage_final.csv,results/runs/lcc_full_70b/stage2_guard_summary.csv
trofi,70b_fast_wo_feature,30,0.2857,0.4,0.3333,0.7778,0.5385,0.6364,1,results/runs/trofi_wo_feature_70b/stage_final.csv,results/runs/trofi_wo_feature_70b/stage2_guard_summary.csv
trofi,8b_fast_full,30,0.1538,0.4,0.2222,0.0,0.0,0.0,1,results/runs/trofi_full_8b/stage_final.csv,results/runs/trofi_full_8b/stage2_guard_summary.csv
